,Longitude,Latitude,vin cnt,accuracy,type,city,country,county,street,number,postdirectional,predirectional,prefix,state,street,suffix,zip,address,lat,lng,source
0,-85.5060841,33.646553,4,1,nearest_street,Heflin,US,Cleburne County,I 20,,,,,AL,I 20,,36264,"I 20, Heflin, AL 36264",33.64506,-85.504687,TIGER/Line® dataset from the US Census Bureau
1,-85.5018143,32.5668209,585,1,nearest_street,Auburn,US,Lee County,Us Hwy 29,1961,,,,AL,Us Hwy 29,,36832,"1961 Us Hwy 29, Auburn, AL 36832",32.567059,-85.501534,TIGER/Line® dataset from the US Census Bureau
2,-85.498075,32.5741892,636,1,nearest_street,Auburn,US,Lee County,Us Hwy 29,1743,,,,AL,Us Hwy 29,,36830,"1743 Us Hwy 29, Auburn, AL 36830",32.573654,-85.499189,TIGER/Line® dataset from the US Census Bureau
3,-85.463608,32.6179643,136,1,nearest_street,Auburn,US,Lee County,Us Hwy 29,872,,,,AL,Us Hwy 29,,36830,"872 Us Hwy 29, Auburn, AL 36830",32.617464,-85.462755,TIGER/Line® dataset from the US Census Bureau
4,-85.4615522,32.6190245,195,1,nearest_street,Auburn,US,Lee County,Us Hwy 29,1023,,,,AL,Us Hwy 29,,36830,"1023 Us Hwy 29, Auburn, AL 36830",32.618241,-85.461432,TIGER/Line® dataset from the US Census Bureau
5,-85.4601597,32.6197916,6,1,nearest_street,Auburn,US,Lee County,Us Hwy 29,1100,,,,AL,Us Hwy 29,,36830,"1100 Us Hwy 29, Auburn, AL 36830",32.619937,-85.459046,TIGER/Line® dataset from the US Census Bureau
6,-85.4431633,32.6095443,277,1,rooftop,Auburn,US,Lee County,Airport Rd,310,,,,AL,Airport,Rd,36830,"310 Airport Rd, Auburn, AL 36830",32.609853,-85.443206,City of Auburn
7,-85.4302225,32.6060002,209,1,rooftop,Auburn,US,Lee County,Hilton Garden Dr,2441,,,,AL,Hilton Garden,Dr,36830,"2441 Hilton Garden Dr, Auburn, AL 36830",32.606247,-85.430246,City of Auburn
8,-85.3956032,33.1783422,57,1,nearest_street,Roanoke,US,Randolph County,Us Hwy 431,6136,,,,AL,Us Hwy 431,,36274,"6136 Us Hwy 431, Roanoke, AL 36274",33.178275,-85.395546,TIGER/Line® dataset from the US Census Bureau
9,-85.3839149,32.648411,25,1,nearest_street,Opelika,US,Lee County,Us Hwy 280,1000,,,,AL,Us Hwy 280,,36801,"1000 Us Hwy 280, Opelika, AL 36801",32.648378,-85.383463,TIGER/Line® dataset from the US Census Bureau
10,-85.3756047,32.6539645,54,1,nearest_street,Opelika,US,Lee County,Us Hwy 29,320,,,,AL,Us Hwy 29,,36801,"320 Us Hwy 29, Opelika, AL 36801",32.654347,-85.375694,TIGER/Line® dataset from the US Census Bureau
11,-85.3671631,33.5950978,2,1,nearest_street,Heflin,US,Cleburne County,Frank Ledbetter Dr,8300,,,,AL,Frank Ledbetter,Dr,36264,"8300 Frank Ledbetter Dr, Heflin, AL 36264",33.595092,-85.367164,TIGER/Line® dataset from the US Census Bureau
12,-85.3618377,32.6430126,164,1,nearest_street,Opelika,US,Lee County,Us Hwy 280,702,,,,AL,Us Hwy 280,,36801,"702 Us Hwy 280, Opelika, AL 36801",32.643537,-85.360338,TIGER/Line® dataset from the US Census Bureau
13,-85.3618236,32.6443793,611,1,nearest_street,Opelika,US,Lee County,Us Hwy 280,702,,,,AL,Us Hwy 280,,36801,"702 Us Hwy 280, Opelika, AL 36801",32.643537,-85.360338,TIGER/Line® dataset from the US Census Bureau
14,-85.3576038,32.6429102,813,1,nearest_street,Opelika,US,Lee County,Us Hwy 280,797,,,,AL,Us Hwy 280,,36801,"797 Us Hwy 280, Opelika, AL 36801",32.643588,-85.356366,TIGER/Line® dataset from the US Census Bureau
15,-85.348632,32.643452,1,1,nearest_street,Opelika,US,Lee County,US 431,,,,,AL,US 431,,36804,"US 431, Opelika, AL 36804",32.643442,-85.348436,TIGER/Line® dataset from the US Census Bureau
16,-85.3091248,34.5271558,11,1,nearest_street,Trion,US,Chattooga County,Us Hwy 27,14000,,,,GA,Us Hwy 27,,30753,"14000 Us Hwy 27, Trion, GA 30753",34.527315,-85.30905,TIGER/Line® dataset from the US Census Bureau
17,-85.291956,33.7441501,14,1,nearest_street,Tallapoosa,US,Haralson County,Us Hwy 78,2098,,,,GA,Us Hwy 78,,30176,"2098 Us Hwy 78, Tallapoosa, GA 30176",33.74445,-85.291649,TIGER/Line® dataset from the US Census Bureau
18,-85.2746609,34.7383585,46,1,nearest_street,La Fayette,US,Walker County,Us Hwy 27 Bus,1997,,,,GA,Us Hwy 27 Bus,,30728,"1997 Us Hwy 27 Bus, La Fayette, GA 30728",34.738234,-85.273743,TIGER/Line® dataset from the US Census Bureau
19,-85.2555183,34.0074587,115,1,nearest_street,Cedartown,US,Polk County,Us Hwy 27 Bus,808,,,,GA,Us Hwy 27 Bus,,30125,"808 Us Hwy 27 Bus, Cedartown, GA 30125",34.006871,-85.255015,TIGER/Line® dataset from the US Census Bureau
20,-85.24825,33.5399641,182,1,rooftop,Bowdon,US,Carroll County,E College St,322,,E,,GA,College,St,30108,"322 E College St, Bowdon, GA 30108",33.540098,-85.248413,Carroll
21,-85.2291259,34.956776,1,0.98,nearest_street,Fort Oglethorpe,US,Catoosa County,Beaver Rd,1,,,,GA,Beaver,Rd,30742,"1 Beaver Rd, Fort Oglethorpe, GA 30742",34.95707,-85.228635,TIGER/Line® dataset from the US Census Bureau
22,-85.2139912,32.8189315,131,1,nearest_street,Lanett,US,Chambers County,I 85,,,,,AL,I 85,,36863,"I 85, Lanett, AL 36863",32.819657,-85.215073,TIGER/Line® dataset from the US Census Bureau
23,-85.2118313,32.8185124,137,0.97,nearest_street,Valley,US,Chambers County,Fob James Dr,691,,,,AL,Fob James,Dr,36854,"691 Fob James Dr, Valley, AL 36854",32.818447,-85.209854,TIGER/Line® dataset from the US Census Bureau
24,-85.2085247,34.2679034,71,0.98,nearest_street,Rome,US,Floyd County,Fay St SW,1,SW,,,GA,Fay,St,30165,"1 Fay St SW, Rome, GA 30165",34.267731,-85.209015,TIGER/Line® dataset from the US Census Bureau
25,-85.2050235,34.0157925,295,0.96,nearest_street,Cedartown,US,Polk County,Hutto Rd,142,,,,GA,Hutto,Rd,30125,"142 Hutto Rd, Cedartown, GA 30125",34.016964,-85.206718,TIGER/Line® dataset from the US Census Bureau
26,-85.1904165,32.8536648,1,1,nearest_street,Lanett,US,Chambers County,Us Hwy 29,1798,,,,AL,Us Hwy 29,,36863,"1798 Us Hwy 29, Lanett, AL 36863",32.853507,-85.190998,TIGER/Line® dataset from the US Census Bureau
27,-85.1870735,32.8729196,32,0.98,nearest_street,Lanett,US,Chambers County,N Lanier Ave,720,,N,,AL,Lanier,Ave,36863,"720 N Lanier Ave, Lanett, AL 36863",32.872482,-85.186844,TIGER/Line® dataset from the US Census Bureau
28,-85.1811862,34.2684447,137,1,nearest_street,Rome,US,Floyd County,Us Hwy 27,1385,,,,GA,Us Hwy 27,,30165,"1385 Us Hwy 27, Rome, GA 30165",34.267814,-85.18003,TIGER/Line® dataset from the US Census Bureau
29,-85.1798219,34.2633237,14,1,nearest_street,Rome,US,Floyd County,Us Hwy 27,1018,,,,GA,Us Hwy 27,,30165,"1018 Us Hwy 27, Rome, GA 30165",34.263436,-85.180264,TIGER/Line® dataset from the US Census Bureau
30,-85.1754665,34.2600509,23,1,nearest_street,Rome,US,Floyd County,Us Hwy 27,600,,,,GA,Us Hwy 27,,30161,"600 Us Hwy 27, Rome, GA 30161",34.260446,-85.175151,TIGER/Line® dataset from the US Census Bureau
31,-85.1654012,33.7612774,595,1,nearest_street,Bremen,US,Haralson County,Us Hwy 27,1672,,,,GA,Us Hwy 27,,30110,"1672 Us Hwy 27, Bremen, GA 30110",33.761468,-85.164355,TIGER/Line® dataset from the US Census Bureau
32,-85.160019,34.236395,78,1,nearest_street,Rome,US,Floyd County,US 27,,,,,GA,US 27,,30161,"US 27, Rome, GA 30161",34.236238,-85.16094,TIGER/Line® dataset from the US Census Bureau
33,-85.1523327,34.2232871,620,1,nearest_street,Rome,US,Floyd County,Us Hwy 411,17,,,,GA,Us Hwy 411,,30161,"17 Us Hwy 411, Rome, GA 30161",34.223441,-85.1526,TIGER/Line® dataset from the US Census Bureau
